galaxy,T,D_Mpc,e_D_Mpc,f_D,Inc_deg,e_Inc_deg,L36_1e9_Lsun,e_L36_1e9_Lsun,Reff_kpc,SBeff_Lsun_pc2,Rdisk_kpc,SBdisk_Lsun_pc2,MHI_1e9_Msun,RHI_kpc,Vflat_kms,e_Vflat_kms,Q,n_data,selected,excl_reason,Ref,M_star_1e9_Msun,M_gas_1e9_Msun,M_b_1e9_Msun,M_vir_1e9_Msun,f_d,E,log_E,e_log_E,Vflat_source
F571-V1,7,80.1,8.0,1,30.0,10.0,1.849,0.267,4.38,15.3,2.47,64.39,1.217,10.1,83.6,3.5,2,7,False,n<10,"dB97,dB96",0.9245,1.61861,2.54311,268.76744575999993,0.05565953326651616,17.966374155738443,1.2544604397667336,0.05454655574143713,measured
F574-1,7,96.8,9.68,1,65.0,10.0,6.537,0.596,5.87,29.98,4.46,128.48,3.524,16.19,97.8,4.1,1,14,True,,"dB01,dB96",3.2685,4.686920000000001,7.95542,430.30302192,0.10875263675000248,9.195179352743162,0.9635602046069425,0.054619858153476454,measured
F574-2,9,89.1,8.91,1,30.0,10.0,2.877,0.384,6.48,10.89,3.76,41.38,1.701,12.61,0.0,0.0,3,5,False,Q=3,"dB97,dB96",1.4385,2.2623300000000004,3.7008300000000003,29.44,0.7394561221227622,1.3523452847064035,0.1310875910860492,,estimated_Vlast
F579-V1,5,89.5,8.95,1,26.0,10.0,11.848,0.742,5.76,56.6,3.37,201.76,2.245,20.96,112.1,13.4,1,14,False,i<30 (face-on),"dB01,dB96",5.924,2.98585,8.90985,647.9994980599998,0.08088105393576758,12.363834932148126,1.0921531982243509,0.15574164293051493,measured
F583-1,9,35.4,8.85,1,63.0,5.0,0.986,0.093,3.74,11.19,2.36,60.93,2.126,15.65,85.8,3.6,1,25,True,,"KN08,dB96",0.493,2.82758,3.32058,290.54920752,0.06722724765328165,14.874921031386084,1.172454668805676,0.0546664382815282,measured
F583-4,5,53.3,10.7,1,55.0,10.0,1.715,0.185,3.31,24.94,1.93,83.34,0.641,7.8,0.0,0.0,1,12,True,,"KN08,dB96",0.8575,0.85253,1.7100300000000002,157.10476554000007,0.06402733847967777,15.618328416343578,1.193634550770136,,estimated_Vlast
IC2574,9,3.91,0.2,2,75.0,7.0,1.016,0.012,3.18,15.88,2.78,80.32,1.036,10.81,66.4,2.0,2,34,True,,"Sa96,MC94",0.508,1.3778800000000002,1.8858800000000002,134.66727424000004,0.08237644837850905,12.139392019004392,1.084196936376516,0.039243477280414316,measured
IC4202,4,100.4,10.0,1,90.0,1.0,179.749,3.311,8.55,391.59,4.78,8888.53,12.326,32.13,242.6,11.0,1,32,True,,SG06,89.8745,16.39358,106.26808,6567.955796959999,0.09517517660982265,10.506941364548979,1.0214763086233902,0.05907550660679022,measured
KK98-251,10,6.8,2.04,1,59.0,5.0,0.085,0.007,1.28,7.89,1.34,52.1,0.115,2.9,33.7,1.6,2,15,True,,BC04,0.0425,0.15295,0.19545,17.605466380000003,0.06530391513280324,15.313017572780767,1.1850607809055982,0.061857967748831115,measured
NGC0024,5,7.3,0.36,2,64.0,3.0,3.889,0.036,2.01,151.65,1.34,1182.58,0.676,7.29,106.3,7.9,1,29,True,,"Di08,Ch06",1.9445,0.8990800000000001,2.84358,552.5322416199999,0.03027324003288558,33.03247352822849,1.5189410956241727,0.09682765024559802,measured
NGC0055,9,2.11,0.11,2,77.0,3.0,4.628,0.013,3.67,54.55,6.11,391.59,1.565,10.24,85.6,5.0,2,21,True,,"Sa96,Pu91",2.314,2.0814500000000002,4.39545,288.52212735999996,0.08961388324658068,11.158985235004378,1.0476247029460308,0.07610300500641094,measured
NGC0100,6,13.5,4.05,1,89.0,1.0,3.232,0.063,2.81,64.99,1.66,1193.52,1.99,16.36,88.1,6.4,1,21,True,,"dB02,Rh96",1.616,2.6467,4.262700000000001,314.54700685999995,0.07971687962528701,12.544394671499282,1.0984497093197896,0.09464760559072004,measured
NGC0247,7,3.7,0.19,2,74.0,3.0,7.332,0.027,5.87,33.79,3.74,506.79,1.746,12.79,104.9,8.0,2,26,True,,"Sa96,Ca90",3.666,2.32218,5.98818,530.9874985400002,0.06633788616897275,15.07434224619167,1.1782383712213738,0.09936194056890411,measured
NGC0289,4,20.8,5.2,1,46.0,5.0,72.065,0.465,2.69,1587.93,6.74,69.96,27.469,49.51,163.0,8.0,2,28,True,,Wa97,36.0325,36.533770000000004,72.56627,1992.14362,0.21427190664331014,4.666967385811617,0.6690347659137529,0.06394519978943584,measured
NGC0300,7,2.08,0.1,2,42.0,10.0,2.922,0.008,1.77,147.51,1.75,437.35,0.936,9.2,93.3,7.0,2,25,True,,"Sa96,CP90",1.461,1.2448800000000002,2.7058800000000005,373.59646902,0.042604634937324574,23.4716246594084,1.3705431516435875,0.09775116956021744,measured
NGC0801,5,80.7,8.07,1,80.0,1.0,312.57,3.455,7.76,818.14,8.72,1558.94,23.201,44.99,220.1,6.2,1,13,True,,"Sa96,Br92",156.285,30.85733,187.14233,4904.76223646,0.22444252793967115,4.455483589405989,0.6488948483981519,0.03670094213266917,measured
NGC0891,3,9.91,0.5,2,90.0,1.0,138.34,0.255,3.68,1617.45,2.55,5067.92,4.462,18.16,216.1,5.7,1,18,True,,Fr11,69.17,5.93446,75.10446,4642.18166926,0.09516881773541092,10.507643404588757,1.0215053258149087,0.034365736420849634,measured
NGC1003,6,11.4,3.42,1,67.0,5.0,6.82,0.075,2.76,140.87,1.61,1345.33,5.88,33.33,109.8,4.2,1,36,True,,"Sa96,Br92",3.41,7.8204,11.2304,608.9264683199999,0.10848793722639118,9.217614654366718,0.9646185483339293,0.049837071693815786,measured
NGC1090,4,37.0,9.25,1,64.0,3.0,72.045,0.796,6.36,283.68,3.53,2055.09,8.783,30.49,164.4,3.7,1,24,True,,Ge04,36.0225,11.68139,47.70389,2043.91707264,0.13729085264922755,7.283806464185627,0.8623583977691102,0.029322802610256056,measured
NGC1705,11,5.73,0.29,2,80.0,10.0,0.533,0.01,0.49,347.4,0.39,587.26,0.139,2.36,71.9,4.3,3,14,False,Q=3,Le14,0.2665,0.18487000000000003,0.45137000000000005,170.97968114000003,0.01552884897992519,64.39627311030863,1.8088607335948514,0.0779193159464805,measured
NGC2366,10,3.27,0.16,2,68.0,5.0,0.236,0.005,1.08,31.98,0.65,113.98,0.647,6.94,50.2,3.2,3,26,False,Q=3,Le14,0.118,0.8605100000000001,0.9785100000000001,58.192763680000006,0.0989116311457952,10.110034466280366,1.0047526361537964,0.08305233120062186,measured
NGC2403,6,3.16,0.16,2,63.0,3.0,10.041,0.028,2.16,341.06,1.39,1408.74,3.199,15.11,131.2,4.9,1,73,True,,"Da06,Fr02",5.0205,4.25467,9.27517,1038.8655308799996,0.05251865800494445,19.04085210832793,1.2796863798501446,0.04865951893275764,measured
NGC2683,3,9.81,0.49,2,80.0,5.0,80.415,0.222,3.34,1139.8,2.18,10205.4,1.406,13.79,154.0,8.1,2,11,True,,"Sa96,Br92",40.2075,1.86998,42.07748,1680.04144,0.14732647799169413,6.787646142307001,0.8317191933319659,0.06852828513148713,measured
NGC2841,3,14.1,1.4,3,76.0,10.0,188.121,0.52,5.51,983.63,3.64,4751.49,9.775,45.12,284.8,8.6,1,50,True,,"Di08,Be91",94.0605,13.000750000000002,107.06125,10626.19512832,0.05926599796244248,16.873081267166228,1.227194398246204,0.039342688318482776,measured
NGC2903,4,6.6,1.98,1,66.0,3.0,81.863,0.151,4.54,632.16,2.33,1193.52,2.552,13.76,184.6,5.6,1,34,True,,"Be91,Be87",40.9315,3.3941600000000003,44.32566,2893.69611856,0.09010592881478542,11.098048853761004,1.045246632252532,0.03952409152748987,measured
NGC2915,11,4.06,0.2,2,56.0,4.0,0.641,0.008,0.53,347.4,0.55,313.93,0.508,7.16,83.5,6.3,2,30,True,,El10,0.3205,0.67564,0.99614,267.8041225,0.021880346740455907,45.70311484831449,1.6599457999677907,0.09830138572420907,measured
NGC2955,3,97.9,9.8,1,56.0,7.0,319.422,4.413,7.22,974.61,18.76,50.68,28.949,40.34,0.0,0.0,1,24,True,,SG06,159.711,38.50217000000001,198.21317000000002,5380.65818,0.21669464673732755,4.614788667170804,0.6641518174349391,,estimated_Vlast
NGC2976,5,3.58,0.18,2,61.0,10.0,3.371,0.019,1.31,308.2,1.01,1502.55,0.172,3.04,85.4,3.3,2,27,True,,Si03,1.6855,0.22876,1.91426,286.5044974400001,0.039302534661029606,25.443651627678587,1.4055794406219684,0.05034561324171185,measured
NGC2998,5,68.1,10.2,1,58.0,2.0,150.902,2.085,7.06,479.55,6.2,774.16,23.451,43.58,209.9,8.1,1,13,True,,"Sa96,Br92",75.451,31.18983,106.64083,4253.977097540001,0.14746177180003056,6.781418585937489,0.8313205522154139,0.050278017676269736,measured
NGC3109,9,1.33,0.07,2,70.0,5.0,0.194,0.002,1.64,11.4,1.56,140.87,0.477,6.0,66.2,2.6,1,25,True,,"Be91,JC90",0.097,0.63441,0.73141,133.45406288,0.0322388968297994,31.01843109828961,1.491619827565697,0.051170648925156555,measured
NGC3198,5,13.8,1.4,3,73.0,3.0,38.279,0.212,5.84,178.99,3.14,1602.62,10.869,35.66,150.1,3.9,1,43,True,,"Da06,Be91,Be87",19.1395,14.455770000000001,33.59527,1555.6070704599997,0.12703672993443052,7.871739145963107,0.8960706939921562,0.03385240132090637,measured
NGC3521,4,7.7,2.3,1,75.0,5.0,84.836,0.156,2.45,2232.7,2.4,2112.66,4.154,18.85,213.7,15.9,1,41,True,,"Da06,Sa96",42.418,5.52482,47.94282,4489.225262379999,0.0628207701223219,15.9183021483634,1.2018967438715367,0.0969389180476608,measured
NGC3726,5,18.0,2.5,4,53.0,2.0,70.234,0.388,7.52,198.08,3.4,1789.91,6.473,22.2,168.0,6.2,2,12,True,,"VS01,SV98",35.117,8.60909,43.72609,2181.15072,0.11792504376664399,8.47996293288515,0.9283939538983856,0.04808260335357431,measured
NGC3741,10,3.21,0.17,2,70.0,4.0,0.028,0.001,0.32,42.94,0.2,143.49,0.182,4.2,50.1,2.1,1,21,True,,"Ge07,Bm05",0.014,0.24206,0.25606,57.84569046,0.026038850641072406,38.40415284777006,1.5843781895069302,0.05461188095789394,measured
NGC3769,3,18.0,2.5,4,70.0,2.0,18.679,0.189,2.18,626.37,3.38,160.26,5.529,22.57,118.6,8.4,2,12,True,,"VS01,SV98",9.3395,7.35357,16.69307,767.3825137599998,0.12796034265966502,7.814921242120233,0.8929246056072926,0.09227842279900461,measured
NGC3877,5,18.0,2.5,4,76.0,1.0,72.535,0.401,4.39,598.18,2.53,3410.59,1.483,11.47,168.4,5.1,2,13,True,,"VS01,SV98",36.2675,1.9723900000000003,38.239889999999995,2196.7674918400003,0.10239614808909782,9.765992360668404,0.9897163802265344,0.03945787157434532,measured
NGC3893,5,18.0,2.5,4,49.0,2.0,58.525,0.377,2.43,1573.37,2.38,2055.09,5.799,20.84,174.0,8.9,1,10,True,,"VS01,SV98",29.2625,7.712670000000001,36.97517,2423.29104,0.08975438624986622,11.14151677463552,1.0469443184870688,0.0666417394644645,measured
NGC3917,6,18.0,2.5,4,79.0,2.0,21.966,0.202,5.56,112.94,2.63,1226.96,1.888,14.08,135.9,4.1,1,17,True,,"VS01,SV98",10.983,2.51104,13.49404,1154.55918834,0.06875065971843247,14.545314970001574,1.1627231300693337,0.03930700608837377,measured
NGC3949,4,18.0,2.5,4,55.0,2.0,38.067,0.28,2.39,1058.84,3.59,185.71,3.371,13.72,163.0,7.1,2,7,False,n<10,"VS01,SV98",19.0335,4.48343,23.516930000000002,1992.14362,0.06944021553673986,14.400876959705199,1.158388939814982,0.0567513648131243,measured
NGC3953,4,18.0,2.5,4,62.0,1.0,141.301,0.521,6.17,587.26,4.89,1999.08,2.832,17.38,220.8,6.1,1,8,False,n<10,"VS01,SV98",70.6505,3.76656,74.41705999999999,4951.708139520001,0.08840331445850103,11.311793071620949,1.0535314519094057,0.03599451548382929,measured
NGC3972,4,18.0,2.5,4,77.0,1.0,14.353,0.172,3.73,164.75,2.18,1587.93,1.214,10.05,132.7,2.9,1,10,True,,"VS01,SV98",7.1765,1.61462,8.79112,1074.9062801799998,0.048108817988835005,20.786210133703097,1.3177753133787231,0.02847296151136617,measured
NGC3992,4,23.7,2.3,5,56.0,2.0,226.932,0.836,9.99,360.44,4.96,3257.09,16.599,32.75,241.0,5.2,1,9,False,n<10,"VS01,SV98",113.466,22.07667,135.54267,6438.85966,0.12382779958422196,8.075731001905158,0.9071818444055927,0.028112007957222938,measured
NGC4010,7,18.0,2.5,4,89.0,1.0,17.193,0.19,6.63,14.75,2.81,2611.14,2.832,17.59,125.8,4.7,2,12,True,,"VS01,SV98",8.5965,3.76656,12.36306,915.79813552,0.07941038481329488,12.59281141063782,1.100122699434403,0.04867688549154094,measured
NGC4013,3,18.0,2.5,4,89.0,1.0,79.094,0.364,4.11,746.16,3.53,10205.4,2.967,31.35,172.9,7.1,2,36,True,,"VS01,SV98",39.547,3.9461100000000005,43.493109999999994,2377.62200494,0.10760407793915414,9.293328088973176,0.9681712696276882,0.053501865034929215,measured
NGC4051,4,18.0,2.5,4,49.0,3.0,95.268,0.439,6.87,319.76,4.65,1320.78,2.697,15.13,157.0,5.5,2,7,False,n<10,"VS01,SV98",47.634,3.5870100000000003,51.22101,1780.15078,0.16925535870817043,5.9082324343077195,0.771457572447562,0.04564241370320799,measured
NGC4068,10,4.37,0.22,2,44.0,6.0,0.236,0.005,1.11,30.26,0.59,261.11,0.154,3.18,0.0,0.0,2,6,False,n<10,Le14,0.118,0.20482,0.32282,33.837627139999995,0.05611921807087411,17.819207650703177,1.2508883887817817,,estimated_Vlast
NGC4085,5,18.0,2.5,4,82.0,2.0,21.724,0.2,2.0,856.7,1.65,5021.46,1.349,10.16,131.5,4.8,2,7,False,n<10,"VS01,SV98",10.862,1.79417,12.65617,1046.0082025,0.07117349428579592,14.050174296410368,1.14768171182115,0.047557722733131746,measured
NGC4088,4,18.0,2.5,4,69.0,2.0,107.286,0.494,6.1,457.96,2.58,3988.69,8.226,22.25,171.7,6.9,1,12,True,,"VS01,SV98",53.643,10.940580000000002,64.58358,2328.4596539799995,0.16315653617417974,6.129083292945358,0.7873955233623487,0.05235815827255279,measured
NGC4100,4,18.0,2.5,4,73.0,2.0,59.394,0.328,4.93,388.0,2.15,8970.78,3.102,18.06,158.2,5.0,1,24,True,,"VS01,SV98",29.697,4.12566,33.82266,1821.2823092799997,0.10923996928738881,9.154158560491693,0.9616184306333609,0.041178364276540945,measured
NGC4138,0,18.0,2.5,4,53.0,3.0,44.111,0.284,1.91,1909.11,1.51,3952.12,1.483,18.58,147.3,5.9,2,7,False,n<10,"VS01,SV98",22.0555,1.9723900000000003,24.02789,1470.1649758200003,0.09613923045128354,10.401581074717758,1.0170993585137866,0.052186098640105615,measured
NGC4157,3,18.0,2.5,4,82.0,3.0,105.62,0.486,4.44,848.85,2.32,23813.87,8.226,24.09,184.7,7.2,1,17,True,,"VS01,SV98",52.81,10.940580000000002,63.75058000000001,2898.4013145799995,0.1293828462878153,7.728999853469568,0.888123299064326,0.05078917601034239,measured
NGC4183,6,18.0,2.5,4,82.0,2.0,10.838,0.15,4.47,86.46,2.79,1098.58,3.506,16.07,110.6,5.4,1,23,True,,"VS01,SV98",5.419,4.66298,10.08198,622.3335473599999,0.09529578625073844,10.493643416392413,1.0209263023890722,0.0636127541304944,measured
NGC4214,10,2.87,0.14,2,15.0,10.0,1.141,0.008,0.7,363.77,0.51,1308.67,0.486,5.84,80.1,5.8,2,14,False,i<30 (face-on),Le14,0.5705,0.6463800000000001,1.2168800000000002,236.40430445999993,0.03027913414440384,33.026043453914916,1.5188565479858358,0.09434112340969514,measured
NGC4217,3,18.0,2.5,4,86.0,2.0,85.299,0.393,5.28,483.98,2.94,4373.51,2.562,16.7,181.3,7.2,1,19,True,,"VS01,SV98",42.6495,3.40746,46.056960000000004,2741.2664066200005,0.09883143552315195,10.118238136546575,1.0051048964770828,0.05174164814732619,measured
NGC4389,4,18.0,2.5,4,50.0,4.0,21.328,0.216,4.05,207.41,2.79,322.72,0.539,6.81,0.0,0.0,3,6,False,Q=3,"VS01,SV98",10.664,0.7168700000000001,11.38087,612.26,0.10934291660021406,9.145539840100097,0.9612093459695639,,estimated_Vlast
NGC4559,6,9.0,2.7,1,67.0,1.0,19.377,0.107,3.82,211.27,2.1,1602.62,5.811,21.16,121.2,5.1,1,32,True,,Ba05,9.6885,7.728630000000001,17.41713,818.96565888,0.12510134554660868,7.993519139467869,0.9027380191608991,0.05482430340857881,measured
NGC5005,4,16.9,1.5,5,68.0,2.0,178.72,0.494,3.97,1789.91,9.45,96.57,1.28,10.41,262.2,20.7,1,18,True,,Ri15,89.36,1.7024000000000001,91.0624,8291.935090079998,0.06460026165803238,15.479813461028918,1.18976572292737,0.10285921939813858,measured
NGC5033,5,15.7,4.7,1,66.0,1.0,110.509,0.407,2.94,2036.24,5.16,614.94,11.314,29.53,194.2,3.6,1,22,True,,"Sa96,Be87",55.2545,15.04762,70.30212,3369.034888479999,0.12274787766876408,8.146780367954763,0.9109860081639577,0.024152319281952214,measured
NGC5055,4,9.9,0.3,2,55.0,6.0,152.922,0.282,4.18,1383.02,3.2,3348.34,11.722,35.06,179.0,4.9,1,28,True,,"Ba06,Bl04",76.461,15.59026,92.05126,2638.25594,0.20524089107139465,4.872323418495305,0.6877361084848383,0.0356655244914961,measured
NGC5371,4,39.7,9.92,1,53.0,2.0,340.393,1.881,9.8,560.83,7.44,1395.82,11.18,30.03,209.5,3.9,1,19,True,,"Sa96,Be87",170.1965,14.8694,185.0659,4229.7033925,0.2573757164880139,3.885370436828179,0.5894324313739796,0.02425415483660165,measured
NGC5585,7,7.06,2.12,1,51.0,2.0,2.943,0.033,2.27,90.54,1.53,297.05,1.683,10.92,90.3,2.4,1,24,True,,"Bl99,Sa96,Co91",1.4715,2.2383900000000003,3.7098900000000006,338.70459041999993,0.06443042985003658,15.520616614347052,1.1909089712320147,0.03462813144743535,measured
NGC5907,5,17.3,0.9,2,88.0,2.0,175.425,0.646,7.88,449.6,5.34,8646.29,21.025,0.0,215.0,2.9,1,19,True,,"Sa96,SA87",87.7125,27.96325,115.67575000000001,4571.6525,0.14884018158320086,6.718615829160389,0.8272798088162249,0.017573776709573444,measured
NGC5985,3,39.7,9.9,1,60.0,2.0,208.728,1.538,10.71,288.95,7.01,1461.61,11.586,39.5,293.6,8.6,1,33,True,,"Bl04,Br92",104.364,15.40938,119.77338,11641.956853760003,0.06051811589476032,16.52397774145808,1.2181146012907236,0.03816347967678438,measured
NGC6015,6,17.0,5.1,1,60.0,2.0,32.129,0.237,3.92,331.76,2.3,1926.77,5.834,21.43,154.1,7.0,2,44,True,,VM97,16.0645,7.75922,23.823719999999998,1683.3163736599997,0.08325204435994538,12.011717041763418,1.0796050930367533,0.05918354393230557,measured
NGC6195,3,127.8,12.8,1,62.0,5.0,391.076,6.123,9.52,686.8,13.94,174.11,20.907,40.89,251.7,9.3,1,23,True,,SG06,195.538,27.80631,223.34431,7335.124309979999,0.17910944699819434,5.583178423916865,0.7468815069986212,0.04813991277354281,measured
NGC6503,6,6.26,0.31,2,74.0,2.0,12.845,0.059,1.62,774.16,2.16,398.87,1.744,14.05,116.3,2.4,1,31,True,,"Be91,Be87",6.4225,2.3195200000000002,8.74202,723.59736362,0.07106665895182677,14.071296086648166,1.1483341015111772,0.026886674718000107,measured
NGC6674,3,51.2,10.2,1,54.0,6.0,214.654,1.977,7.75,560.83,6.04,1370.35,32.165,50.02,241.3,4.9,1,15,True,,"Sa96,Br92",107.327,42.779450000000004,150.10645,6462.9351386200005,0.1366219989383333,7.31946544312653,0.8644793647226532,0.026457227036791556,measured
NGC6789,11,3.52,0.18,2,43.0,7.0,0.1,0.003,0.52,59.27,0.31,319.76,0.017,0.97,0.0,0.0,2,4,False,n<10,Le14,0.05,0.02261,0.07261000000000001,101.36047743999998,0.004213848018934742,237.31278287839137,2.3753211321660475,,estimated_Vlast
NGC6946,6,5.52,1.66,2,38.0,2.0,66.173,0.122,4.2,571.26,2.44,2232.7,5.67,21.25,158.9,10.9,1,58,True,,Bo08,33.0865,7.5411,40.6276,1845.5657557400002,0.12949193579782103,7.722488615517531,0.8877572767376113,0.08937337670381582,measured
NGC7331,3,14.7,1.5,3,75.0,2.0,250.631,0.693,3.99,2470.76,5.02,1806.47,11.067,27.01,239.0,5.4,1,36,True,,"Be91,Be87",125.3155,14.71911,140.03461,6279.88274,0.13117012436445588,7.623687214182266,0.8821650696946355,0.029437533919802007,measured
NGC7793,7,3.61,0.18,2,47.0,9.0,7.05,0.026,2.19,233.79,1.21,1068.64,0.861,7.35,0.0,0.0,1,46,True,,"Di08,Sa96,CP90",3.525,1.14513,4.67013,344.36212351999995,0.07977460662737777,12.53531721780764,1.0981353286572395,,estimated_Vlast
NGC7814,2,14.4,0.66,2,90.0,1.0,74.529,0.343,2.08,2709.13,2.54,2635.3,1.07,12.15,218.9,7.0,1,18,True,,Fr11,37.2645,1.4231000000000003,38.687599999999996,4824.975543740001,0.047165859305197316,21.20177634269896,1.32637224883035,0.041663700867831374,measured
PGC51017,11,13.6,1.4,2,66.0,3.0,0.155,0.014,1.28,15.03,0.53,93.94,0.201,4.29,18.6,1.3,3,6,False,Q=3,Le14,0.0775,0.26733,0.34483,2.960033760000001,0.6852664290916336,1.4592864286749998,0.16414054356182003,0.09106174620552054,measured
UGC00128,8,64.5,9.7,1,57.0,10.0,12.02,0.565,9.63,20.36,5.95,88.89,7.431,31.27,129.3,2.8,1,22,True,,"VB99,VH93",6.01,9.883230000000001,15.89323,994.3823482200004,0.0940177472002049,10.636289740814176,1.0267901593405064,0.028214026666568554,measured
UGC00191,9,17.1,5.1,1,45.0,5.0,2.004,0.063,2.5,50.21,1.58,207.41,1.343,10.03,0.0,0.0,1,9,False,n<10,"KN08,vZ97",1.002,1.7861900000000002,2.78819,271.1858546474999,0.0604792520184276,16.534596024688057,1.2183935886424024,,estimated_Vlast
UGC00634,9,30.9,7.7,1,37.0,8.0,2.989,0.146,4.26,26.11,2.45,126.13,3.663,16.78,0.0,0.0,2,4,False,n<10,vZ97,1.4945,4.87179,6.366289999999999,571.4565625,0.06553212818495255,15.259690592951314,1.1835457279087578,,estimated_Vlast
UGC00731,10,12.5,3.75,1,57.0,3.0,0.323,0.019,1.4,25.63,2.3,82.57,1.807,11.57,73.3,2.3,1,12,True,,"Sw09,Sw02",0.1615,2.40331,2.56481,181.16310501999996,0.08327919553704514,12.007800910554776,1.079463478688558,0.0408817452269091,measured
UGC00891,9,10.2,3.1,1,60.0,5.0,0.374,0.017,1.76,19.09,1.43,113.98,0.428,6.23,0.0,0.0,2,5,False,n<10,vZ97,0.187,0.56924,0.75624,119.1786328125,0.037326075012405396,26.790922958485403,1.4279876754922207,,estimated_Vlast
UGC01230,9,53.7,10.7,1,22.0,10.0,7.62,0.379,6.45,28.63,4.34,69.32,6.43,26.29,103.7,6.1,1,11,False,i<30 (face-on),"dB02,VdH93",3.81,8.5519,12.3619,512.9725203800001,0.14175624606491985,7.054362878246874,0.848457796126305,0.07664020268880913,measured
UGC01281,8,5.27,0.24,2,90.0,1.0,0.353,0.009,2.01,13.83,1.63,135.78,0.294,5.26,55.2,3.5,1,25,True,,"dB02,Sw02",0.1765,0.39102,0.56752,77.37043968000002,0.043147653741968106,23.176231226388502,1.3650428151195773,0.08261036340550985,measured
UGC02023,10,10.4,3.1,1,19.0,10.0,1.308,0.033,2.73,27.59,1.55,121.57,0.477,6.5,0.0,0.0,2,5,False,i<30 (face-on),"Sw09,Sw02",0.654,0.63441,1.28841,93.51683711999999,0.0810429713658517,12.339132970405382,1.0912846443489572,,estimated_Vlast
UGC02259,8,10.5,3.1,1,41.0,3.0,1.725,0.038,2.4,47.08,1.62,172.52,0.494,7.28,86.2,2.9,2,8,False,n<10,"Be91,Ca88",0.8625,0.65702,1.51952,294.63180688000006,0.030337365934211415,32.96265081710015,1.5180221298742107,0.043832505714133295,measured
UGC02455,10,6.92,2.08,1,51.0,5.0,3.649,0.034,1.49,254.0,0.99,795.85,0.803,7.11,0.0,0.0,3,8,False,Q=3,"Sw09,Sw02",1.8245,1.0679900000000002,2.8924900000000004,104.41126,0.1629579708052899,6.1365516216132105,0.7879243919211972,,estimated_Vlast
UGC02487,0,69.1,10.4,1,36.0,5.0,489.955,4.061,9.63,818.14,7.89,1150.35,17.963,40.2,332.0,3.5,1,17,True,,"No07,No05",244.9775,23.890790000000003,268.86829,16833.40928,0.09395471530236496,10.643425364887767,1.0270814190928907,0.01373521704814501,measured
UGC02885,5,80.6,8.06,1,64.0,4.0,403.525,4.088,12.2,421.53,11.4,470.79,40.075,74.24,289.5,12.0,1,19,True,,"Sa96,RA85",201.7625,53.29975000000001,255.06225,11161.0109925,0.13442923562021464,7.438858038478842,0.8715062708076473,0.054005531428383644,measured
UGC02916,2,65.4,9.8,1,50.0,5.0,124.153,1.83,2.8,2425.66,6.15,520.99,23.273,34.24,182.7,6.9,2,43,True,,"No07,No05",62.0765,30.95309,93.02959,2805.2622901799996,0.19507369569988692,5.126267774915487,0.7098012881788532,0.04920577873780686,measured
