galaxy,T,D_Mpc,e_D_Mpc,f_D,Inc_deg,e_Inc_deg,L36_1e9_Lsun,e_L36_1e9_Lsun,Reff_kpc,SBeff_Lsun_pc2,Rdisk_kpc,SBdisk_Lsun_pc2,MHI_1e9_Msun,RHI_kpc,Vflat_kms,e_Vflat_kms,Q,n_data,selected,excl_reason,Ref,M_star_1e9_Msun,M_gas_1e9_Msun,M_b_1e9_Msun,M_vir_1e9_Msun,f_d,E,log_E,e_log_E,Vflat_source
UGC06399,9,18.0,2.5,4,75.0,2.0,2.296,0.072,3.45,30.82,2.05,311.05,0.674,8.8,85.0,3.8,1,9,False,n<10,"VS01,SV98",1.148,0.8964200000000001,2.04442,282.4975,0.04257028823263923,23.490562115416594,1.3708934093149718,0.05824655404349494,measured
UGC06446,7,12.0,3.6,1,51.0,3.0,0.988,0.032,2.06,37.05,1.49,86.46,1.379,10.33,82.2,4.3,1,17,True,,"VS01,SV98",0.494,1.83407,2.3280700000000003,255.48963408,0.053601115603291435,18.656328114532638,1.2708261712155984,0.06815570336437893,measured
UGC06614,1,88.7,8.87,1,36.0,10.0,124.35,2.52,3.68,1461.61,5.1,540.54,21.888,60.63,199.8,16.0,1,13,True,,"dB01,VH93",62.175,29.111040000000003,91.28604,3668.9710363200006,0.14635621283643158,6.832644686683748,0.8345888369930253,0.10433501066744787,measured
UGC06628,9,15.1,4.53,1,20.0,10.0,3.739,0.076,4.14,34.74,2.82,103.0,1.5,10.47,41.8,6.4,2,7,False,i<30 (face-on),"Sw09,Sw02",1.8695,1.995,3.8645,33.59593071999999,0.6766400708060657,1.4778905996636043,0.16964228675102624,0.19948454671154153,measured
UGC06667,6,18.0,2.5,4,89.0,1.0,1.397,0.066,3.5,18.06,5.15,614.94,0.809,8.59,83.8,3.1,1,9,False,n<10,"VS01,SV98",0.6985,1.07597,1.77447,270.70101711999996,0.03855936314750634,25.934038282078596,1.4138701475857993,0.04819735897016995,measured
UGC06786,0,29.3,7.32,1,64.0,3.0,73.407,0.676,3.42,992.73,3.6,1078.52,5.03,20.31,219.4,7.8,1,45,True,,"No07,No05",36.7035,6.689900000000001,43.3934,4858.113996640001,0.05254205526963515,19.03237311270378,1.279492943068724,0.04631946616470415,measured
UGC06787,2,21.3,5.32,1,66.0,3.0,98.256,0.543,2.88,1891.6,5.37,429.37,5.03,26.44,248.1,4.8,2,71,True,,"No07,No05",49.128,6.689900000000001,55.8179,7024.867294859999,0.04673975670338093,21.39506215974087,1.3303135525910776,0.02520693486258293,measured
UGC06818,9,18.0,2.5,4,75.0,3.0,1.588,0.057,2.12,56.08,1.39,286.31,1.079,6.96,71.2,4.0,2,8,False,n<10,"VS01,SV98",0.794,1.43507,2.22907,166.03429888,0.07897269756332069,12.662604049940109,1.1025230270261195,0.07319569919717726,measured
UGC06917,9,18.0,2.5,4,56.0,2.0,6.832,0.12,4.52,53.07,2.76,261.11,2.023,12.67,108.7,3.5,1,11,True,,"VS01,SV98",3.416,2.6905900000000003,6.106590000000001,590.80813138,0.06079997166449769,16.447376086260906,1.2160966231278434,0.04195116890509792,measured
UGC06923,10,18.0,2.5,4,65.0,2.0,2.89,0.077,1.66,166.28,1.44,347.4,0.809,6.75,79.6,2.5,2,6,False,n<10,"VS01,SV98",1.445,1.07597,2.52097,232.00483455999995,0.06391778568856755,15.645097670817181,1.1943782787487214,0.04091970620947724,measured
UGC06930,7,18.0,2.5,4,32.0,5.0,8.932,0.14,4.38,73.93,3.94,189.16,3.237,16.76,107.2,5.1,1,10,True,,"VS01,SV98",4.466,4.305210000000001,8.77121,566.6856140800002,0.0910475785148353,10.983268487882519,1.040731600134075,0.061984193779102165,measured
UGC06973,2,18.0,2.5,4,71.0,3.0,53.87,0.347,1.61,3317.65,1.07,12730.05,1.753,11.57,174.2,6.2,3,9,False,Q=3,"VS01,SV98",26.935,2.33149,29.266489999999997,2431.6568244799996,0.07079774653901937,14.124743355339163,1.1499805654916457,0.046371282223883384,measured
UGC06983,6,18.0,2.5,4,49.0,1.0,5.298,0.102,3.95,53.56,3.21,121.57,2.967,16.07,109.0,5.8,1,17,True,,"VS01,SV98",2.649,3.9461100000000005,6.59511,595.71334,0.06512320960595301,15.355508520707009,1.1862642033307058,0.06932774298272093,measured
UGC07089,8,18.0,2.5,4,80.0,3.0,3.585,0.089,3.9,37.4,2.26,520.99,1.214,9.29,0.0,0.0,2,12,True,,"VS01,SV98",1.7925,1.61462,3.40712,227.66028865999996,0.08803416033119765,11.35922687554298,1.0553487737067329,,estimated_Vlast
UGC07125,9,19.8,5.9,1,90.0,3.0,2.712,0.08,3.92,28.11,3.38,103.0,4.629,23.04,65.2,2.1,1,13,True,,"Sw09,Sw02",1.356,6.156569999999999,7.512569999999999,127.49719168000001,0.3466083264501133,2.8851009156121012,0.4601610085929524,0.04196403736181727,measured
UGC07151,6,6.87,0.34,2,90.0,3.0,2.284,0.025,2.17,76.71,1.25,965.67,0.616,6.39,73.5,2.8,1,11,True,,"Sw09,Sw02",1.142,0.81928,1.96128,182.6500725,0.06316417518241384,15.831759017070485,1.1995291706404168,0.04963365507465734,measured
UGC07232,10,2.83,0.17,2,59.0,5.0,0.113,0.002,0.46,83.34,0.29,227.42,0.046,1.54,0.0,0.0,2,4,False,n<10,"Sw09,Sw02",0.0565,0.061180000000000005,0.11768,39.18464,0.017665985807644193,56.60595513256289,1.7528621227989367,,estimated_Vlast
UGC07261,8,13.1,3.93,1,30.0,10.0,1.753,0.048,2.66,39.16,1.2,566.02,1.388,10.1,74.7,3.4,2,7,False,n<10,"Sw09,Sw02",0.8765,1.84604,2.72254,191.74305258000004,0.08352292800694175,11.97276034093163,1.078194289306272,0.05930125455707052,measured
UGC07323,8,8.0,2.4,1,47.0,3.0,4.109,0.042,3.26,61.49,2.26,283.68,0.722,7.14,0.0,0.0,1,10,True,,"Sw09,Sw02",2.0545,0.96026,3.01476,288.52212735999996,0.061464548716618675,16.269541074977774,1.2113753026961862,,estimated_Vlast
UGC07399,8,8.43,2.53,1,55.0,3.0,1.156,0.024,1.27,113.98,1.64,135.78,0.745,7.85,103.0,3.3,1,10,True,,"Sw09,Sw02",0.578,0.99085,1.5688499999999999,502.65442,0.018359590694069106,54.46744519871244,1.7361370051221756,0.04174286767807954,measured
UGC07524,9,4.74,0.24,2,46.0,3.0,2.436,0.025,3.61,29.71,3.46,106.86,1.779,12.11,79.5,3.6,1,31,True,,"Sw09,Sw02",1.218,2.36607,3.58407,231.1315425,0.09121543722610839,10.963056587901464,1.0399316558079057,0.05899849565478138,measured
UGC07559,10,4.97,0.25,2,61.0,3.0,0.109,0.004,0.98,17.9,0.58,55.06,0.169,3.76,0.0,0.0,2,7,False,n<10,"Sw09,Sw02",0.0545,0.22477000000000003,0.27927,15.215034060000004,0.10796983427077209,9.261846206896553,0.9666975652509737,,estimated_Vlast
UGC07577,10,2.59,0.13,2,63.0,3.0,0.045,0.002,0.77,11.94,0.9,54.55,0.044,2.07,0.0,0.0,2,9,False,n<10,"Sw09,Sw02",0.0225,0.05852,0.08102000000000001,2.59428592,0.1837069043238371,5.443453547272278,0.7358745211389605,,estimated_Vlast
UGC07603,7,4.7,1.41,1,78.0,3.0,0.376,0.008,0.85,81.81,0.53,520.99,0.258,4.37,61.6,2.8,1,12,True,,"Sw09,Sw02",0.188,0.34314,0.53114,107.52265216,0.029057625332076537,34.414374491094634,1.5367398803103611,0.05922197480498887,measured
UGC07608,10,8.21,2.46,1,25.0,10.0,0.264,0.012,1.6,16.48,1.5,46.65,0.535,6.73,0.0,0.0,1,8,False,i<30 (face-on),"Sw09,Sw02",0.132,0.7115500000000001,0.8435500000000001,153.09377622,0.032411891234551536,30.852874112263645,1.489295627136063,,estimated_Vlast
UGC07690,10,8.11,2.43,1,41.0,5.0,0.858,0.018,0.86,184.01,0.57,395.21,0.39,5.5,57.4,3.2,2,7,False,n<10,"Sw09,Sw02",0.429,0.5187,0.9477,86.99484304,0.06408087752730016,15.60527943104358,1.1932715496289572,0.07263461718242539,measured
UGC07866,10,4.57,0.23,2,44.0,5.0,0.124,0.004,0.95,21.92,0.61,97.46,0.118,3.3,0.0,0.0,2,7,False,n<10,"Sw09,Sw02",0.062,0.15694,0.21894,16.68175786,0.07720303601992075,12.952858482689326,1.1123656206387125,,estimated_Vlast
UGC08286,6,6.5,0.21,2,90.0,3.0,1.255,0.018,2.25,39.52,1.05,1488.78,0.642,8.07,82.4,2.3,1,17,True,,"Sw09,Sw02",0.6275,0.8538600000000001,1.48136,257.3590630400001,0.033858851714838656,29.534374302532818,1.4703277745899144,0.03636689229529656,measured
UGC08490,9,4.65,0.53,2,50.0,3.0,1.017,0.012,1.14,124.98,0.67,576.54,0.72,7.8,78.6,3.8,1,30,True,,"Sw09,Sw02",0.5085,0.9576,1.4661,223.37032175999997,0.03860905772578417,25.90065800368324,1.4133107974302375,0.06298927600123498,measured
UGC08550,7,6.7,2.0,1,90.0,3.0,0.289,0.009,1.01,45.38,0.45,1284.78,0.288,5.59,56.9,1.9,1,11,True,,"Sw09,Sw02",0.1445,0.38304,0.52754,84.74120414,0.03661945215531174,27.307890783258145,1.4362881572408976,0.043505774109816084,measured
UGC08699,2,39.3,9.82,1,73.0,9.0,50.302,0.695,1.91,2191.95,3.09,1370.35,3.738,19.05,182.4,6.9,2,41,True,,"No07,No05",25.151,4.97154,30.12254,2791.46594304,0.06347611447902476,15.753957346120217,1.1973896652814695,0.0492867092949414,measured
UGC08837,10,7.21,0.36,2,80.0,5.0,0.501,0.015,2.25,15.73,1.72,77.42,0.32,4.75,0.0,0.0,2,8,False,n<10,"Sw09,Sw02",0.2505,0.42560000000000003,0.6761,50.87232,0.07817726464075969,12.791442685993195,1.1069195292504916,,estimated_Vlast
UGC09037,6,83.6,8.4,1,65.0,5.0,68.614,1.769,5.69,334.83,4.28,841.07,19.078,39.72,152.3,9.6,2,22,True,,Ha14,34.307,25.37374,59.68074,1625.0156268200005,0.21603680030916697,4.628841005647719,0.6654722636180389,0.08212528613797537,measured
UGC09133,2,57.1,11.4,1,53.0,6.0,282.926,2.345,5.92,1284.78,6.97,864.63,33.428,60.35,226.8,4.2,1,68,True,,"No07,No05",141.463,44.45924,185.92224,5366.448702720001,0.20379589853151722,4.906870095059097,0.6908045605801015,0.024127471216847322,measured
UGC09992,10,10.7,3.21,1,30.0,10.0,0.336,0.017,1.62,20.18,1.04,73.25,0.318,5.45,33.6,3.3,2,5,False,n<10,"Sw09,Sw02",0.168,0.42294000000000004,0.59094,17.44920576,0.19921351692851053,5.019739701492537,0.700681197396734,0.12796176698935097,measured
UGC10310,9,15.2,4.6,1,34.0,6.0,1.741,0.053,3.12,28.37,1.8,158.79,1.196,9.58,71.4,3.9,1,7,False,n<10,"Sw09,Sw02",0.8705,1.59068,2.46118,167.43739824000002,0.08646532712490565,11.565329517060926,1.06315801111464,0.07116590249675134,measured
UGC11455,6,78.6,11.8,1,90.0,1.0,374.322,3.792,10.06,571.26,5.93,9568.2,13.335,43.44,269.4,7.4,1,36,True,,SG06,187.161,17.735550000000003,204.89655,8993.952836639997,0.13400935555491342,7.46216557686696,0.8728648813065063,0.035788186704722315,measured
UGC11557,8,24.2,6.05,1,30.0,10.0,12.101,0.212,4.18,106.86,2.75,337.93,2.605,16.66,0.0,0.0,2,12,True,,"Sw02,dB01",6.0505,3.4646500000000002,9.51515,277.5415175,0.20166882091157873,4.95862471689884,0.6953612408687754,,estimated_Vlast
UGC11820,9,18.1,5.43,1,45.0,10.0,0.97,0.047,2.74,20.18,2.08,34.11,1.977,12.99,0.0,0.0,1,10,True,,"KN08,vZ97",0.485,2.6294100000000005,3.1144100000000003,277.0491317175,0.06612566771084456,15.122720641140697,1.1796299296006711,,estimated_Vlast
UGC11914,2,16.9,5.1,1,31.0,5.0,150.028,0.553,3.12,2425.66,2.44,3168.33,0.888,9.26,288.1,10.5,1,65,True,,"No07,No05",75.014,1.18104,76.19503999999999,10999.871366860001,0.04074648718142261,24.541992921930362,1.3899098265187109,0.047484471294524225,measured
UGC12506,6,100.6,10.1,1,86.0,4.0,139.571,3.214,12.36,144.82,7.38,5608.28,35.556,59.01,234.0,16.8,2,31,True,,Ha14,69.7855,47.28948,117.07498,5893.93584,0.11684490154564973,8.55835373877493,0.9323902330269801,0.0935403499483927,measured
UGC12632,9,9.77,2.93,1,46.0,3.0,1.301,0.03,3.94,13.09,2.42,66.81,1.744,12.6,71.7,2.8,1,15,True,,"Sw09,Sw02",0.6505,2.3195200000000002,2.9700200000000003,169.55683398,0.1030374622612598,9.705207970518716,0.9870048462139172,0.0508796882564479,measured
UGC12732,9,13.2,4.0,1,39.0,6.0,1.667,0.048,3.12,26.84,1.98,120.46,3.66,17.41,0.0,0.0,1,16,True,,"Sw09,Sw02",0.8335,4.867800000000001,5.701300000000001,432.94832,0.07746203709377927,12.90954947117324,1.1109110861395763,,estimated_Vlast
UGCA281,11,5.68,0.28,2,67.0,3.0,0.194,0.007,1.57,12.5,1.72,12.05,0.062,1.83,0.0,0.0,3,7,False,Q=3,Le14,0.097,0.08246,0.17946,11.8092925,0.0893912195691257,11.186781037557116,1.0487051375793752,,estimated_Vlast
UGCA442,9,4.35,0.22,2,64.0,7.0,0.14,0.005,1.71,7.6,1.18,116.1,0.263,4.37,56.4,2.1,1,8,False,n<10,Co00,0.07,0.34979000000000005,0.41979000000000005,82.52682624,0.02992182122689698,33.42042559565497,1.5240119761578386,0.048511617659405794,measured
UGCA444,10,0.98,0.05,2,78.0,4.0,0.012,0.0,0.41,11.94,0.83,22.74,0.067,2.08,37.0,4.8,2,36,True,,Ke07,0.006,0.08911000000000001,0.09511000000000001,23.30038,0.024011221629659865,41.64719377562822,1.619585743586307,0.16902271728126556,measured
